Date,Price,Open,High,Low,Vol.,Change %
11/15/2016,43.55,43.55,43.55,43.55,,2.88%
11/14/2016,42.33,42.33,42.33,42.33,,-0.28%
11-11-16,42.45,42.45,42.45,42.45,,-1.37%
11-10-16,43.04,43.04,43.04,43.04,,-0.78%
11-09-16,43.38,43.38,43.38,43.38,,0.95%
11-08-16,42.97,42.97,42.97,42.97,,-0.16%
11-07-16,43.04,43.04,43.04,43.04,,1.15%
11-04-16,42.55,42.55,42.55,42.55,,-1.34%
11-03-16,43.13,43.13,43.13,43.13,,-1.12%
11-02-16,43.62,43.62,43.62,43.62,,-2.37%
11-01-16,44.68,44.68,44.68,44.68,,-0.53%
10/31/2016,44.92,44.92,44.92,44.92,,-8.38%
10/28/2016,49.03,49.03,49.03,49.03,,-0.06%
10/27/2016,49.06,49.06,49.06,49.06,,0.20%
10/26/2016,48.96,48.96,48.96,48.96,,-0.18%
10/25/2016,49.05,49.05,49.05,49.05,,-0.28%
10/24/2016,49.19,49.19,49.19,49.19,,-0.12%
10/21/2016,49.25,49.25,49.25,49.25,,0.35%
10/20/2016,49.08,49.08,49.08,49.08,0.20K,-0.87%
10/19/2016,49.51,49.51,49.51,49.51,,0.92%
10/18/2016,49.06,49.06,49.06,49.06,,-0.04%
10/17/2016,49.08,49.08,49.08,49.08,,-0.59%
10/14/2016,49.37,49.37,49.37,49.37,,0.18%
10/13/2016,49.28,49.28,49.28,49.28,,0.37%
10-12-16,49.1,49.1,49.1,49.1,,-0.79%
10-11-16,49.49,49.49,49.49,49.49,,-0.88%
10-10-16,49.93,49.93,49.93,49.93,,1.75%
10-07-16,49.07,49.07,49.07,49.07,,-0.71%
10-06-16,49.42,49.42,49.42,49.42,,0.96%
10-05-16,48.95,48.95,48.95,48.95,,1.66%
10-04-16,48.15,48.15,48.15,48.15,,0.29%
10-03-16,48.01,48.01,48.01,48.01,,10.62%
09/29/2016,43.4,43.4,43.4,43.4,,0.02%
09/28/2016,43.39,43.39,43.39,43.39,,0.58%
09/27/2016,43.14,43.14,43.14,43.14,,-0.60%
09/26/2016,43.4,43.4,43.4,43.4,,0.60%
09/23/2016,43.14,43.14,43.14,43.14,,-1.03%
09/22/2016,43.59,43.59,43.59,43.59,,0.60%
09/21/2016,43.33,43.33,43.33,43.33,,0.81%
09/20/2016,42.98,42.98,42.98,42.98,0.20K,-0.07%
09/19/2016,43.01,43.01,43.01,43.01,,0.19%
09/16/2016,42.93,42.93,42.93,42.93,,-0.83%
09/15/2016,43.29,43.29,43.29,43.29,,1.00%
09/14/2016,42.86,42.86,42.86,42.86,,-1.63%
09/13/2016,43.57,43.57,43.57,43.57,,-2.94%
09-12-16,44.89,44.89,44.89,44.89,,1.77%
09-09-16,44.11,44.11,44.11,44.11,,-2.91%
09-08-16,45.43,45.43,45.43,45.43,,2.97%
09-07-16,44.12,44.12,44.12,44.12,,1.36%
09-06-16,43.53,43.53,43.53,43.53,,0.83%
09-02-16,43.17,43.17,43.17,43.17,,3.06%
09-01-16,41.89,41.89,41.89,41.89,,-4.14%
08/31/2016,43.7,43.7,43.7,43.7,,-0.05%
08/30/2016,43.72,43.72,43.72,43.72,,-0.05%
08/29/2016,43.74,43.74,43.74,43.74,,-0.23%
08/26/2016,43.84,43.84,43.84,43.84,,0.05%
08/25/2016,43.82,43.82,43.82,43.82,,0.27%
08/24/2016,43.7,43.7,43.7,43.7,,-0.59%
08/23/2016,43.96,43.96,43.96,43.96,,0.34%
08/22/2016,43.81,43.81,43.81,43.81,,-1.44%
08/19/2016,44.45,44.45,44.45,44.45,,-0.11%
08/18/2016,44.5,44.5,44.5,44.5,,0.77%
08/17/2016,44.16,44.16,44.16,44.16,,0.73%
08/16/2016,43.84,43.84,43.84,43.84,,1.32%
08/15/2016,43.27,43.27,43.27,43.27,,1.76%
08-12-16,42.52,42.52,42.52,42.52,,1.31%
08-11-16,41.97,41.97,41.97,41.97,,3.12%
08-10-16,40.7,40.7,40.7,40.7,,-1.14%
08-09-16,41.17,41.17,41.17,41.17,,-1.08%
08-08-16,41.62,41.62,41.62,41.62,,2.21%
08-05-16,40.72,40.72,40.72,40.72,,-0.34%
08-04-16,40.86,40.86,40.86,40.86,,2.77%
08-03-16,39.76,39.76,39.76,39.76,,2.79%
08-02-16,38.68,38.68,38.68,38.68,,-0.62%
08-01-16,38.92,38.92,38.92,38.92,,-8.45%
07/28/2016,42.51,42.51,42.51,42.51,,0.00%
07/27/2016,42.51,42.51,42.51,42.51,,-0.12%
07/26/2016,42.56,42.56,42.56,42.56,,-0.07%
07/25/2016,42.59,42.59,42.59,42.59,,-0.42%
07/22/2016,42.77,42.77,42.77,42.77,,-0.95%
07/21/2016,43.18,43.18,43.18,43.18,,-0.21%
07/20/2016,43.27,43.27,43.27,43.27,,0.49%
07/19/2016,43.06,43.06,43.06,43.06,,-0.28%
07/18/2016,43.18,43.18,43.18,43.18,,-1.12%
07/15/2016,43.67,43.67,43.67,43.67,,0.34%
07/14/2016,43.52,43.52,43.52,43.52,,1.63%
07/13/2016,42.82,42.82,42.82,42.82,,-3.32%
07-12-16,44.29,44.29,44.29,44.29,,3.38%
07-11-16,42.84,42.84,42.84,42.84,,-0.70%
07-08-16,43.14,43.14,43.14,43.14,,0.96%
07-07-16,42.73,42.73,42.73,42.73,,-4.47%
07-06-16,44.73,44.73,44.73,44.73,,1.61%
07-05-16,44.02,44.02,44.02,44.02,,-3.82%
07-01-16,45.77,45.77,45.77,45.77,,-1.06%
06/30/2016,46.26,46.26,46.26,46.26,,-0.11%
06/29/2016,46.31,46.31,46.31,46.31,,0.26%
06/28/2016,46.19,46.19,46.19,46.19,,0.35%
06/27/2016,46.03,46.03,46.03,46.03,,-0.28%
06/24/2016,46.16,46.16,46.16,46.16,,-1.01%
06/23/2016,46.63,46.63,46.63,46.63,,0.54%
06/22/2016,46.38,46.38,46.38,46.38,,-0.49%
06/21/2016,46.61,46.61,46.61,46.61,,-0.17%
06/20/2016,46.69,46.69,46.69,46.69,,1.19%
06/17/2016,46.14,46.14,46.14,46.14,0.40K,1.70%
06/16/2016,45.37,45.37,45.37,45.37,,-1.80%
06/15/2016,46.2,46.2,46.2,46.2,,-0.94%
06/14/2016,46.64,46.64,46.64,46.64,,-0.62%
06/13/2016,46.93,46.93,46.93,46.93,,-0.06%
06-10-16,46.96,46.96,46.96,46.96,,-1.96%
06-09-16,47.9,47.9,47.9,47.9,,-0.62%
06-08-16,48.2,48.2,48.2,48.2,,1.92%
06-07-16,47.29,47.29,47.29,47.29,,1.61%
06-06-16,46.54,46.54,46.54,46.54,,1.11%
06-03-16,46.03,46.03,46.03,46.03,,-0.71%
06-02-16,46.36,46.36,46.36,46.36,,0.87%
06-01-16,45.96,45.96,45.96,45.96,,3.82%
05/31/2016,44.27,44.27,44.27,44.27,,-0.09%
05/27/2016,44.31,44.31,44.31,44.31,,-0.07%
05/26/2016,44.34,44.34,44.34,44.34,,-0.11%
05/25/2016,44.39,44.39,44.39,44.39,,0.41%
05/24/2016,44.21,44.21,44.21,44.21,,0.11%
05/23/2016,44.16,44.16,44.16,44.16,,-0.27%
05/20/2016,44.28,44.28,44.28,44.28,,-0.11%
05/19/2016,44.33,44.33,44.33,44.33,,0.02%
05/18/2016,44.32,44.32,44.32,44.32,,-0.36%
05/17/2016,44.48,44.48,44.48,44.48,,0.47%
05/16/2016,44.27,44.27,44.27,44.27,,1.30%
05/13/2016,43.7,43.7,43.7,43.7,,-0.64%
05-12-16,43.98,43.98,43.98,43.98,,0.71%
05-11-16,43.67,43.67,43.67,43.67,,3.12%
05-10-16,42.35,42.35,42.35,42.35,,3.37%
05-09-16,40.97,40.97,40.97,40.97,,-3.10%
05-06-16,42.28,42.28,42.28,42.28,,0.86%
05-05-16,41.92,41.92,41.92,41.92,,0.29%
