index,Open,High,Low,Close,Volume,EURJPY_Open,EURJPY_High,EURJPY_Low,EURJPY_Close,EURJPY_Volume,AUDJPY_Open,AUDJPY_High,AUDJPY_Low,AUDJPY_Close,AUDJPY_Volume,USDJPY_Open,USDJPY_High,USDJPY_Low,USDJPY_Close,USDJPY_Volume,barclays_Open,barclays_High,barclays_Low,barclays_Close,barclays_Volume,mitsui_Open,mitsui_High,mitsui_Low,mitsui_Close,mitsui_Volume,nissan_Open,nissan_High,nissan_Low,nissan_Close,nissan_Volume,honda_Open,honda_High,honda_Low,honda_Close,honda_Volume,sony_Open,sony_High,sony_Low,sony_Close,sony_Volume,sonia_tona_diff_tona_sonia_difference,Close_weighted_moving_average,Close_weighted_moving_std_dev,Close_upper_band,Close_lower_band,Close_RSI
2018-08-30,144.333,144.691,143.492,143.88,164127.8896,129.497,129.838,128.557,128.892,279760249511.7189,80.544,80.689,79.638,79.836,137991.9596,110.964,111.135,110.684,111.065,133804340820.31288,178.298,178.897,175.157,175.457,41292755.8422,,,,,,,,,,,,,,,,,,,,,0.7558,142.47755,1.387644178378722,145.25283835675745,139.70226164324257,72.41887905604695
2018-08-31,143.88,143.88,143.88,150.47,0.0,128.892,128.892,128.892,128.892,0.0,79.836,79.836,79.836,79.836,0.0,111.065,111.065,111.065,111.065,0.0,175.457,175.457,175.457,175.457,0.0,,,,,,,,,,,,,,,,,,,,,0.7592000000000001,142.8296,2.2604236538170865,147.35044730763417,138.30875269236583,86.01346297681359
2018-09-01,152.497,152.596,150.357,150.381,229824.627,134.455,134.557,133.076,133.12,229253812744.1407,88.115,88.162,87.21,87.377,147465.7221,112.634,112.784,111.269,111.436,157486739379.88318,196.998,203.048,196.998,201.797,49883726.8352,,,,,,,,,,,,,,,,,,,,,0.7592000000000001,143.2792,2.790833653983977,148.86086730796796,137.69753269203204,85.546381016142
2018-09-02,150.381,150.381,150.381,147.882,0.0,133.274,133.274,133.274,133.274,0.0,84.996,84.996,84.996,84.996,0.0,108.782,108.782,108.782,108.782,0.0,192.317,192.317,192.317,192.317,0.0,,,,,,,,,,,,,,,,,,,,,0.7592000000000001,143.64465,2.8944363377274325,149.43352267545487,137.85577732454516,69.39084895259089
2018-09-03,147.882,147.882,147.882,151.943,0.0,131.429,131.429,131.429,131.429,0.0,83.798,83.798,83.798,83.798,0.0,106.806,106.806,106.806,106.806,0.0,210.948,210.948,210.948,210.948,0.0,,,,,,,,,,,,,,,,,,,,,0.754,144.1954,3.3607125403620217,150.91682508072404,137.47397491927597,75.50457703760881
2018-09-04,150.837,152.136,150.702,147.879,240753.1079,131.535,132.619,131.422,132.452,249502340820.3125,82.148,83.374,82.066,83.188,153801.3682,106.757,107.397,106.618,107.197,182532439819.336,212.048,214.748,211.597,214.398,41198266.0294,,,,,,,,,,,,,,,,,,,,,0.7586,144.54735,3.359403225119992,151.26615645023998,137.82854354976,62.21374045801524
2018-09-05,148.643,149.304,147.48,146.887,273076.8777,130.046,130.763,129.953,130.338,244066970214.844,81.847,82.464,81.732,82.382,131934.13989999998,109.742,110.017,109.316,109.39,153175959289.55118,213.348,214.547,210.847,213.947,39411445.6177,,,,,,,,,,,,,,,,,,,,,0.7542000000000001,144.8497,3.2793405803765694,151.40838116075315,138.29101883924687,58.87784404683013
2018-09-06,146.887,146.887,146.887,147.333,0.0,128.874,128.874,128.874,128.874,0.0,83.225,83.225,83.225,83.225,0.0,109.529,109.529,109.529,109.529,0.0,198.998,198.998,198.998,198.998,0.0,,,,,,,,,,,,,,,,,,,,,0.7542000000000001,145.17435,3.1814309139954013,151.5372118279908,138.8114881720092,59.67245786577703
2018-09-07,146.941,147.791,146.811,141.615,232282.7204,130.245,130.742,130.097,130.348,273743949218.7501,82.743,83.159,82.647,82.762,125772.91000000002,110.844,111.353,110.783,110.993,136012618286.13326,188.337,191.118,185.997,186.317,23112926.1255,,,,,,,,,,,,,,,,,,,,,0.7558,145.2139,3.1289875090160155,151.47187501803202,138.95592498196797,47.824577242265384
2018-09-08,142.408,142.561,140.934,144.702,199393.3602,128.032,128.11,126.008,126.515,289887011718.7501,81.895,81.989,80.615,80.896,173589.89010000002,111.066,111.169,110.511,110.807,183143029907.22668,190.358,190.598,186.057,187.558,43286727.4285,,,,,,,,,,,,,,,,,,,,,0.7558,145.3363,3.054092096980936,151.44448419396187,139.22811580603812,52.39965787056101
2018-09-09,143.492,145.032,143.07,148.078,128301.40010000004,128.233,129.071,127.865,128.796,227372528808.594,78.854,79.262,78.766,79.024,99189.28909999998,111.024,111.247,110.851,111.103,103627209716.7973,174.598,177.258,173.377,177.078,46269644.7372,,,,,,,,,,,,,,,,,,,,,0.7558,145.60555,3.0461543050212234,151.69785861004243,139.51324138995756,57.14408676192114
2018-09-10,148.435,149.301,148.054,147.604,227713.0797,129.783,130.5,129.293,129.321,245397089355.4689,80.212,80.595,79.087,79.182,155103.7395,112.949,113.286,112.252,112.267,182196388671.8753,167.758,173.417,167.338,171.677,54359902.3818,2068.0,2097.0,2061.0,2087.0,5546999.990900001,1030.0,1031.0,1024.0,1028.0,3207000.0171,3230.0,3241.0,3182.0,3200.0,4664999.931999999,6585.0,6606.0,6489.0,6572.0,4831000.059800001,0.7556,145.8606,2.985659063273067,151.83191812654613,139.88928187345388,53.25892450941736
